student_id,actual_placement,preferred_program,has_valid_preference,g6_final_average,g6_math,g6_science,g6_english,ste_g6_eligible,ste_ineligible_reason,pred_avg_STE,suitable_STE,margin_STE,pred_avg_SPFL,suitable_SPFL,margin_SPFL,pred_avg_SPTVE,suitable_SPTVE,margin_SPTVE,pred_avg_TOP-5,suitable_TOP-5,margin_TOP-5,pred_avg_HETERO,suitable_HETERO,margin_HETERO,top1_recommendation
student_001,3,3.0,1.0,88.0,88.0,86.0,88.0,1,Eligible,89.494,1,4.494,88.488,1,3.488,85.155,1,0.155,84.458,0,-0.542,76.087,1,1.087,1
student_002,3,3.0,1.0,86.0,82.0,86.0,84.0,0,MATH (82<83),88.539,0,3.539,85.656,1,0.656,85.156,1,0.156,83.815,0,-1.185,77.233,1,2.233,2
student_003,3,3.0,1.0,85.0,82.0,83.0,83.0,0,MATH (82<83),88.773,0,3.773,85.816,1,0.816,85.153,1,0.153,85.188,1,0.188,77.937,1,2.937,2
student_004,3,3.0,1.0,86.0,85.0,86.0,87.0,1,Eligible,88.969,1,3.969,84.165,0,-0.835,85.153,1,0.153,84.039,0,-0.961,78.22,1,3.22,1
student_005,3,3.0,1.0,94.0,92.0,93.0,92.0,1,Eligible,89.991,1,4.991,90.733,1,5.733,88.303,1,3.303,84.257,0,-0.743,78.649,1,3.649,2
student_006,3,5.0,1.0,89.0,91.0,86.0,93.0,1,Eligible,89.158,1,4.158,87.322,1,2.322,85.157,1,0.157,84.049,0,-0.951,78.664,1,3.664,1
student_007,3,5.0,1.0,86.0,84.0,84.0,86.0,1,Eligible,87.647,1,2.647,85.684,1,0.684,85.153,1,0.153,83.316,0,-1.684,79.069,1,4.069,1
student_008,3,3.0,1.0,87.0,88.0,86.0,87.0,1,Eligible,88.832,1,3.832,85.661,1,0.661,85.154,1,0.154,85.089,1,0.089,77.86,1,2.86,1
student_009,3,3.0,1.0,84.0,85.0,85.0,87.0,1,Eligible,87.946,1,2.946,83.046,0,-1.954,84.11,0,-0.89,83.537,0,-1.463,77.969,1,2.969,1
student_010,3,3.0,1.0,88.0,87.0,94.0,89.0,1,Eligible,89.086,1,4.086,85.658,1,0.658,85.156,1,0.156,84.095,0,-0.905,77.5,1,2.5,1
student_011,3,3.0,1.0,89.0,85.0,87.0,90.0,1,Eligible,90.08,1,5.08,87.698,1,2.698,85.155,1,0.155,83.887,0,-1.113,77.673,1,2.673,1
student_012,3,3.0,1.0,86.0,87.0,84.0,84.0,1,Eligible,88.385,1,3.385,86.34,1,1.34,85.152,1,0.152,83.697,0,-1.303,77.756,1,2.756,1
student_013,3,3.0,1.0,88.0,86.0,87.0,86.0,1,Eligible,89.838,1,4.838,86.02,1,1.02,85.33,1,0.33,84.308,0,-0.692,78.228,1,3.228,1
student_014,3,6.0,0.0,89.0,88.0,89.0,89.0,1,Eligible,89.865,1,4.865,87.002,1,2.002,85.155,1,0.155,83.904,0,-1.096,77.977,1,2.977,1
student_015,3,3.0,1.0,88.0,82.0,85.0,93.0,0,MATH (82<83),90.744,0,5.744,87.386,1,2.386,85.156,1,0.156,84.279,0,-0.721,77.887,1,2.887,2
student_016,3,3.0,1.0,86.0,85.0,86.0,86.0,1,Eligible,89.205,1,4.205,85.157,1,0.157,85.148,1,0.148,84.094,0,-0.906,77.8,1,2.8,1
student_017,3,5.0,1.0,88.0,86.0,87.0,86.0,1,Eligible,90.217,1,5.217,87.1,1,2.1,85.158,1,0.158,84.295,0,-0.705,79.532,1,4.532,1
student_018,3,3.0,1.0,89.0,87.0,90.0,88.0,1,Eligible,89.467,1,4.467,89.171,1,4.171,85.154,1,0.154,84.077,0,-0.923,78.123,1,3.123,1
student_019,3,5.0,1.0,89.0,89.0,87.0,88.0,1,Eligible,90.155,1,5.155,86.942,1,1.942,85.156,1,0.156,84.498,0,-0.502,77.845,1,2.845,1
student_020,3,3.0,1.0,88.0,87.0,86.0,87.0,1,Eligible,89.608,1,4.608,87.158,1,2.158,85.154,1,0.154,84.153,0,-0.847,78.349,1,3.349,1
