student_id,actual_placement,preferred_program,has_valid_preference,g6_final_average,g6_math,g6_science,g6_english,ste_g6_eligible,ste_ineligible_reason,pred_avg_STE,suitable_STE,margin_STE,pred_avg_SPFL,suitable_SPFL,margin_SPFL,pred_avg_SPTVE,suitable_SPTVE,margin_SPTVE,pred_avg_TOP-5,suitable_TOP-5,margin_TOP-5,pred_avg_HETERO,suitable_HETERO,margin_HETERO,top1_recommendation
student_001,3,3.0,1.0,88.0,88.0,86.0,88.0,1,Eligible,89.212,1,4.212,87.041,1,2.041,85.001,1,0.001,84.149,0,-0.851,77.418,1,2.418,1
student_002,3,3.0,1.0,86.0,82.0,86.0,84.0,0,MATH (82<83),89.259,0,4.259,85.63,1,0.63,84.989,0,-0.011,84.049,0,-0.951,77.934,1,2.934,2
student_003,3,3.0,1.0,85.0,82.0,83.0,83.0,0,MATH (82<83),89.226,0,4.226,85.913,1,0.913,84.749,0,-0.251,84.308,0,-0.692,78.115,1,3.115,2
student_004,3,3.0,1.0,86.0,85.0,86.0,87.0,1,Eligible,89.245,1,4.245,85.076,1,0.076,84.8,0,-0.2,83.894,0,-1.106,78.345,1,3.345,1
student_005,3,3.0,1.0,94.0,92.0,93.0,92.0,1,Eligible,90.382,1,5.382,90.34,1,5.34,87.323,1,2.323,83.985,0,-1.015,78.449,1,3.449,1
student_006,3,5.0,1.0,89.0,91.0,86.0,93.0,1,Eligible,89.528,1,4.528,87.404,1,2.404,85.491,1,0.491,84.103,0,-0.897,78.329,1,3.329,1
student_007,3,5.0,1.0,86.0,84.0,84.0,86.0,1,Eligible,89.254,1,4.254,86.106,1,1.106,84.938,0,-0.062,83.765,0,-1.235,78.598,1,3.598,1
student_008,3,3.0,1.0,87.0,88.0,86.0,87.0,1,Eligible,89.257,1,4.257,86.118,1,1.118,85.132,1,0.132,84.101,0,-0.899,77.833,1,2.833,1
student_009,3,3.0,1.0,84.0,85.0,85.0,87.0,1,Eligible,88.998,1,3.998,85.215,1,0.215,84.715,0,-0.285,83.895,0,-1.105,77.984,1,2.984,1
student_010,3,3.0,1.0,88.0,87.0,94.0,89.0,1,Eligible,89.592,1,4.592,86.804,1,1.804,85.28,1,0.28,84.105,0,-0.895,77.924,1,2.924,1
student_011,3,3.0,1.0,89.0,85.0,87.0,90.0,1,Eligible,89.617,1,4.617,87.337,1,2.337,85.066,1,0.066,84.009,0,-0.991,78.031,1,3.031,1
student_012,3,3.0,1.0,86.0,87.0,84.0,84.0,1,Eligible,89.087,1,4.087,86.518,1,1.518,84.905,0,-0.095,83.845,0,-1.155,77.943,1,2.943,1
student_013,3,3.0,1.0,88.0,86.0,87.0,86.0,1,Eligible,89.61,1,4.61,86.62,1,1.62,85.466,1,0.466,84.111,0,-0.889,78.184,1,3.184,1
student_014,3,6.0,0.0,89.0,88.0,89.0,89.0,1,Eligible,89.744,1,4.744,87.734,1,2.734,85.147,1,0.147,84.011,0,-0.989,78.227,1,3.227,1
student_015,3,3.0,1.0,88.0,82.0,85.0,93.0,0,MATH (82<83),89.983,0,4.983,86.891,1,1.891,85.154,1,0.154,84.165,0,-0.835,78.071,1,3.071,2
student_016,3,3.0,1.0,86.0,85.0,86.0,86.0,1,Eligible,89.709,1,4.709,85.746,1,0.746,84.731,0,-0.269,84.079,0,-0.921,77.899,1,2.899,1
student_017,3,5.0,1.0,88.0,86.0,87.0,86.0,1,Eligible,89.622,1,4.622,87.003,1,2.003,85.513,1,0.513,84.233,0,-0.767,78.656,1,3.656,1
student_018,3,3.0,1.0,89.0,87.0,90.0,88.0,1,Eligible,89.633,1,4.633,88.183,1,3.183,85.339,1,0.339,84.094,0,-0.906,78.343,1,3.343,1
