student_id,actual_placement,preferred_program,has_valid_preference,g6_final_average,g6_math,g6_science,g6_english,ste_g6_eligible,ste_ineligible_reason,pred_avg_STE,suitable_STE,margin_STE,pred_avg_SPFL,suitable_SPFL,margin_SPFL,pred_avg_SPTVE,suitable_SPTVE,margin_SPTVE,pred_avg_TOP-5,suitable_TOP-5,margin_TOP-5,pred_avg_HETERO,suitable_HETERO,margin_HETERO,top3_recommendations,top1_recommendation
student_001,3,3.0,1.0,88.125,88.0,86.0,88.0,1,Eligible,89.097,1,4.097,86.617,1,1.617,85.192,1,0.192,84.247,0,-0.753,78.11,1,3.11,"[1, 2, 3]",1
student_002,3,3.0,1.0,85.5,82.0,86.0,84.0,0,MATH (82<83),88.556,0,3.556,85.154,1,0.154,84.713,0,-0.287,84.027,0,-0.973,77.949,1,2.949,"[2, 5, 1]",2
student_003,3,3.0,1.0,85.0,82.0,83.0,83.0,0,MATH (82<83),88.379,0,3.379,85.314,1,0.314,84.59,0,-0.41,84.108,0,-0.892,78.027,1,3.027,"[2, 5, 1]",2
student_004,3,3.0,1.0,85.5,85.0,86.0,87.0,1,Eligible,88.433,1,3.433,84.267,0,-0.733,84.673,0,-0.327,84.017,0,-0.983,78.092,1,3.092,"[1, 5, 3]",1
student_005,3,3.0,1.0,94.0,92.0,93.0,92.0,1,Eligible,90.233,1,5.233,92.344,1,7.344,86.44,1,1.44,84.4,0,-0.6,78.332,1,3.332,"[2, 1, 3]",2
student_006,3,5.0,1.0,88.875,91.0,86.0,93.0,1,Eligible,89.12,1,4.12,87.19,1,2.19,85.333,1,0.333,84.346,0,-0.654,78.34,1,3.34,"[1, 2, 3]",1
student_007,3,5.0,1.0,86.125,84.0,84.0,86.0,1,Eligible,88.67,1,3.67,85.23,1,0.23,84.877,0,-0.123,84.155,0,-0.845,78.175,1,3.175,"[1, 2, 5]",1
student_008,3,3.0,1.0,86.75,88.0,86.0,87.0,1,Eligible,88.806,1,3.806,85.614,1,0.614,84.972,0,-0.028,84.101,0,-0.899,78.175,1,3.175,"[1, 2, 5]",1
student_009,3,3.0,1.0,85.0,85.0,85.0,87.0,1,Eligible,88.47,1,3.47,83.574,0,-1.426,84.551,0,-0.449,84.057,0,-0.943,77.976,1,2.976,"[1, 5, 3]",1
student_010,3,3.0,1.0,88.5,87.0,94.0,89.0,1,Eligible,89.323,1,4.323,86.989,1,1.989,85.301,1,0.301,84.082,0,-0.918,77.986,1,2.986,"[1, 2, 3]",1
student_011,3,3.0,1.0,88.5,85.0,87.0,90.0,1,Eligible,89.141,1,4.141,88.194,1,3.194,85.335,1,0.335,84.205,0,-0.795,78.173,1,3.173,"[1, 2, 3]",1
student_012,3,3.0,1.0,86.125,87.0,84.0,84.0,1,Eligible,88.698,1,3.698,84.668,0,-0.332,84.788,0,-0.212,84.063,0,-0.937,78.127,1,3.127,"[1, 5, 3]",1
student_013,3,3.0,1.0,88.25,86.0,87.0,86.0,1,Eligible,89.086,1,4.086,87.047,1,2.047,85.275,1,0.275,84.118,0,-0.882,78.112,1,3.112,"[1, 2, 3]",1
student_014,3,6.0,0.0,89.125,88.0,89.0,89.0,1,Eligible,89.393,1,4.393,87.56,1,2.56,85.4,1,0.4,84.197,0,-0.803,78.176,1,3.176,"[1, 2, 3]",1
student_015,3,3.0,1.0,87.625,82.0,85.0,93.0,0,MATH (82<83),88.926,0,3.926,88.224,1,3.224,85.163,1,0.163,84.389,0,-0.611,78.29,1,3.29,"[2, 3, 5]",2
student_016,3,3.0,1.0,86.25,85.0,86.0,86.0,1,Eligible,88.74,1,3.74,85.422,1,0.422,84.764,0,-0.236,84.156,0,-0.844,78.029,1,3.029,"[1, 2, 5]",1
student_017,3,5.0,1.0,88.25,86.0,87.0,86.0,1,Eligible,89.079,1,4.079,87.041,1,2.041,85.259,1,0.259,84.231,0,-0.769,78.177,1,3.177,"[1, 2, 3]",1
student_018,3,3.0,1.0,89.375,87.0,90.0,88.0,1,Eligible,89.513,1,4.513,88.233,1,3.233,85.505,1,0.505,84.253,0,-0.747,78.169,1,3.169,"[1, 2, 3]",1
student_019,3,5.0,1.0,88.75,89.0,87.0,88.0,1,Eligible,89.175,1,4.175,87.943,1,2.943,85.332,1,0.332,84.244,0,-0.756,78.305,1,3.305,"[1, 2, 3]",1
student_020,3,3.0,1.0,87.875,87.0,86.0,87.0,1,Eligible,89.052,1,4.052,86.783,1,1.783,85.212,1,0.212,84.209,0,-0.791,78.281,1,3.281,"[1, 2, 3]",1
student_021,5,6.0,0.0,82.875,82.0,79.0,79.0,0,"MATH (82<83), SCIENCE (79<83), ENGLISH (79<83)",87.905,0,2.905,81.845,0,-3.155,84.104,0,-0.896,83.951,0,-1.049,77.944,1,2.944,"[5, 1, 3]",5
student_022,5,6.0,0.0,79.375,79.0,77.0,81.0,0,"MATH (79<83), SCIENCE (77<83), ENGLISH (81<83)",87.155,0,2.155,78.849,0,-6.151,83.433,0,-1.567,83.803,0,-1.197,77.924,1,2.924,"[5, 1, 4]",5
student_023,5,6.0,0.0,81.875,78.0,79.0,82.0,0,"MATH (78<83), SCIENCE (79<83), ENGLISH (82<83)",87.749,0,2.749,82.78,0,-2.22,83.898,0,-1.102,84.077,0,-0.923,77.987,1,2.987,"[5, 1, 4]",5
student_024,5,1.0,1.0,84.0,82.0,84.0,83.0,0,MATH (82<83),88.48,0,3.48,83.478,0,-1.522,84.429,0,-0.571,84.058,0,-0.942,78.087,1,3.087,"[5, 1, 3]",5
