feature,importance
grade_6_final_average,0.118708156
preferred_program,0.0977835
achiever_award,0.07022492
grade_english,0.03715593
average_grade_tle,0.035991218
enjoy_science_experiments,0.028157443
grade_math,0.018901177
enjoy_filipino,0.018681826
award_best_science,0.018069834
grade_science,0.017656535
award_best_math,0.017631046
age,0.017207667
grade_esp,0.017164303
award_with_honors,0.017119482
support_person,0.01694192
enjoy_mapeh,0.016141608
grade_arpan,0.015569663
motivation_level,0.015243465
travel_difficulty,0.015016043
received_awards,0.01481347
grade_mapeh,0.01414147
award_high_honors,0.013842647
enjoy_language_related_activities,0.013473089
difficulty_writing,0.01343855
grade_filipino,0.013384754
award_best_english,0.012903486
enjoy_reading,0.012370039
total_subjects_enjoyed,0.012272224
award_conduct,0.012044743
extra_support_recommended,0.011586025
enjoy_sports,0.011433704
total_difficulties,0.011351275
enjoy_handson_activities,0.011154943
internet_access,0.01040107
learning_style,0.010323135
enjoy_math,0.010261689
difficulty_social_interaction,0.009961191
difficulty_focusing,0.009908091
enjoy_english,0.009791434
study_hours_daily,0.009704852
competition_participation,0.009620769
handle_difficulty,0.009335309
foreign_language_interest,0.009039013
absence_reason,0.008783066
absences_count,0.008757206
total_awards,0.007969859
distance_from_school,0.007961652
gender,0.007539169
enjoy_science,0.0075276294
quiet_study_place,0.007511446
enjoy_arts,0.0074000265
meets_ste_criteria,0.007381906
enjoy_tle,0.0069687804
assignment_completion,0.006384608
device_availability,0.006268413
difficulty_math,0.005993733
enjoy_arpan,0.005264238
family_income_help,0.004945336
difficulty_reading,0.0043343636
school_participation,0.0030858517
award_highest_honors,0.0
